Nome do Bloco,Data,Horário,Endereço,Bairro,Observações
Grande Bloco do Encontro – Parque JA,31/01/2026,09:00,Praça APA 703,Jardim América,Pré-Carnaval
Tchanzinho Zona Norte,31/01/2026,09:00,Rua Júlio Ferraz 41,Liberdade,Pré-Carnaval
Buritis de Guimarães Rosa,31/01/2026,09:30,Rua Juvenal Melo Senra 385,Belvedere,Pré-Carnaval
Bloco da Floresta,31/01/2026,09:30,Rua Deputado Bernardino de Sena Figueiredo 961,Cidade Nova,Pré-Carnaval
Na Tora Bloco,31/01/2026,09:00,Rua Conselheiro Rocha 2250,Santa Tereza,Pré-Carnaval
Bloco Hahaha,31/01/2026,09:00,Rua Estrela do Sul 135,Santa Tereza,Pré-Carnaval
As Charangueiras,31/01/2026,09:00,Rua Paraíba 1360,Savassi,Infantil/Familiar
Bloco do Balão,31/01/2026,09:00,Rua Professor Djalma Guimarães 140,Mangabeiras,Pré-Carnaval
Bloco Deslumbradas,31/01/2026,09:00,Avenida Otacílio Negrão de Lima 4411,Bandeirantes,Pré-Carnaval
Bloco Cowboy di Buteco,31/01/2026,09:00,Praça da Liberdade 65,Savassi,Pré-Carnaval
Bloco Besourinhos,31/01/2026,09:30,Praça Carlos Chagas 33,Santo Agostinho,Pré-Carnaval
Encontro de Boizinhos Encantados,31/01/2026,10:00,Avenida Álvares Cabral 327,Lourdes,Pré-Carnaval
Alceu Dispor,31/01/2026,10:00,Rua Além Paraíba 1035,Bonfim,Pré-Carnaval
Bloco Rock BH,31/01/2026,10:00,Avenida Getúlio Vargas 808,Savassi,Pré-Carnaval
Afronta BH,31/01/2026,10:00,Praça da Liberdade 680,Savassi,Pré-Carnaval
Bloco do Portão,31/01/2026,10:00,Rua Doutor Pedro Ruela 827,Letícia,Pré-Carnaval
Mindinho Bateria Mirim,31/01/2026,10:00,Rua Ibiraci 134,Salgado Filho,Infantil
Bloco do Pão Molhado,31/01/2026,10:30,Rua Valença 148,Carlos Prates,Pré-Carnaval
Bloco Belopirô,31/01/2026,11:00,Alameda das Palmeiras 921,São José,Pré-Carnaval
Trema na Linguíça,31/01/2026,11:00,Rua Benvinda de Carvalho 320,Santo Antônio,Pré-Carnaval
Rapique,31/01/2026,11:00,Rua Camilo Prates 751,União,Pré-Carnaval
Folia do Cardosinho 2026,31/01/2026,11:00,Praça Rotary Club 37,Sion,Pré-Carnaval
Morabloco,31/01/2026,11:00,Avenida Fleming 680,Ouro Preto,Pré-Carnaval
Pata de Leão,31/01/2026,12:00,Praça México 249,Concórdia,Pré-Carnaval
Alegria Alegria,31/01/2026,12:00,Praça da Bandeira 182,Cruzeiro,Pré-Carnaval
Bloco do Minas,31/01/2026,12:00,Avenida dos Bandeirantes 2323,Serra,Pré-Carnaval
Almas Empenadas,31/01/2026,12:00,Rua Nilo Aparecida Pinto 341,Planalto,Pré-Carnaval
Unidos com Mirago,31/01/2026,12:00,Rua das Petúnias 2080,Lindéia,Pré-Carnaval
Bloco Circuladô,31/01/2026,12:00,Praça Coronel Benjamin Guimarães 65,Funcionários,Pré-Carnaval
Bloco Gafieira,31/01/2026,12:00,Rua Nova Ponte 22,Salgado Filho,Pré-Carnaval
Granadas de Alegria,31/01/2026,12:30,Avenida Silva Lobo 1336,Nova Granada,Pré-Carnaval
Bloco da Rua,31/01/2026,13:00,Rua Rio de Janeiro 1010,Centro,Pré-Carnaval
Bloco Tapa de Mina,31/01/2026,13:00,Rua Maria Carmem Valadares 194,Santa Efigênia,Pré-Carnaval
SutablocO,31/01/2026,13:00,Praça Toscana 744,Bandeirantes,Pré-Carnaval
Bloco Pé com Pé,31/01/2026,13:30,Praça Chico Pereira 94,Dom Cabral,Pré-Carnaval
Bloco Carnavalesco As Virgens do Ribeiro Quente,31/01/2026,14:00,Rua Izalina Faustina Silveira 18,Mantiqueira,Pré-Carnaval
Nova Folia,31/01/2026,14:00,Rua Engenheiro Correia 279,Nova Floresta,Pré-Carnaval
Bloco Manga com Dendê,31/01/2026,14:00,Rodovia Camilo Teixeira da Costa 1350,Granja Werneck,Pré-Carnaval
Bloco Turma da Língua Solta,31/01/2026,14:00,Rua Itaguaí 431,Alto Caiçaras,Pré-Carnaval
Bloco Salada de Frutas,31/01/2026,14:00,Avenida Assis Chateaubriand 127,Floresta,Pré-Carnaval
Chá da Alice,31/01/2026,14:00,Avenida Brasil 1145,Funcionários,Pré-Carnaval
Bloco da Bruna Lipiani,31/01/2026,14:00,Avenida Getúlio Vargas 808,Savassi,Pré-Carnaval
Sagrada Profana,31/01/2026,14:00,Rua Vicente Risola 1025,Santa Inês,Pré-Carnaval
Bloco da Velha Guarda do Samba de BH,31/01/2026,14:00,Rua dos Goitacazes 496,Centro,Pré-Carnaval
Carnacoelho,31/01/2026,14:00,Rua Mármores 210,Santa Tereza,Pré-Carnaval
Bloco do Movat,31/01/2026,14:00,Avenida Amazonas 339,Centro,Pré-Carnaval
Bloco do Malvadão,31/01/2026,14:00,Avenida Afonso Pena 1377,Centro,Pré-Carnaval
Bloco Baile do Birico,31/01/2026,14:00,Rua Fernandes Tourinho 235,Savassi,Pré-Carnaval
Bloco Reage Corno,31/01/2026,14:30,Rua José Sanguinete 283,Vila Canto do Sabiá,Pré-Carnaval
Chic Xique Forrozeirros,31/01/2026,14:30,Rua Versília 50,Bandeirantes,Pré-Carnaval
Meninos do Morro,31/01/2026,14:30,Praça Santa Cruz 10,Pedreira Prado Lopes,Pré-Carnaval
Siaxegue,31/01/2026,15:00,Avenida Guarapari 1367,Santa Amélia,Pré-Carnaval
Trem du Bão,31/01/2026,15:00,Avenida Santa Matilde 190,João Pinheiro,Pré-Carnaval
Bloco Kechimba,31/01/2026,15:00,Rua Sagarana 180,Santo Antônio,Pré-Carnaval
Bloco Me Leva,31/01/2026,15:00,Avenida Afonso Pena 4350,Cruzeiro,Pré-Carnaval
Chama o Síndico,31/01/2026,16:00,Avenida Afonso Pena 1377,Centro,Pré-Carnaval
Bloco Álibe,31/01/2026,16:00,Praça Cristo Redentor 20,Milionários,Pré-Carnaval
Bloco Zona Norte,31/01/2026,16:00,Rua Cecília Pinto 16,Vila Aeroporto,Pré-Carnaval
Bloco Uai,31/01/2026,16:00,Avenida Antonio Abrahão Caram 1001,São Luiz,Pré-Carnaval
Kiko Lindo o Bloco,31/01/2026,16:00,Praça Engenheiro Lenine Savini 28,Planalto,Pré-Carnaval
Viaduto Carna Trance,31/01/2026,17:00,Rua da Bahia 15,Centro,Pré-Carnaval
Bloco Cidade Nva Piro-Leerita,31/01/2026,17:00,Rua Afonso Pena Junior 141,Cidade Nova,Pré-Carnaval
Bloco Instituto Cddown,31/01/2026,12:00,Rua General Ephigenio Ruas Santos 323,Itapoã,Pré-Carnaval
Bloco Na Cadência do Samba,31/01/2026,17:30,Rua Vinte e Cinco de Agosto 399,Aparecida,Pré-Carnaval
Flor & Amar,31/01/2026,18:00,Avenida Joaquim Clemente 320,Floramar,Pré-Carnaval
Se Avexe Não!,31/01/2026,18:00,Praça Geraldo Torres 172,Padre Eustáquio,Pré-Carnaval
Sai pra Lá Capeta,31/01/2026,18:00,Praça México 222,Concórdia,Pré-Carnaval
Abre-te Sésamo,31/01/2026,19:00,Avenida Augusto de Lima 1833,Barro Preto,Pré-Carnaval
Bloco Clandestinas,01/02/2026,08:00,Rua Aarão Reis 585,Centro,Pré-Carnaval
Bloco da Amandona,01/02/2026,08:00,Rua Santa Rita do Itajaú 1216,Savassi,Pré-Carnaval
Nucaos,01/02/2026,08:00,Rua da Bahia 52,Centro,Pré-Carnaval
Pinta Terezinha,01/02/2026,08:00,Rua Divinópolis 543,Santa Tereza,Pré-Carnaval
Bloco Andacunfé,01/02/2026,08:00,Rua Oligisto 417,Santa Tereza,Pré-Carnaval
Bloquinho 60+ Paixão de Carnaval,01/02/2026,09:00,Rua Suzoni 206,São Salvador,60+
Bloco de Pífanos BH,01/02/2026,10:00,Rua Jequiriçá 223,Concórdia,Pré-Carnaval
Lá do Bacuraus: Bonecos Gigantes Reciclados,01/02/2026,10:00,Rua Adolfo Lutz 21,Campo Alegre,Pré-Carnaval
Uai Cê Samba,01/02/2026,10:00,Avenida dos Engenheiros 211,Alípio de Melo,Pré-Carnaval
De Mentes Brilhantes,01/02/2026,10:30,Rua José dos Santos Lage 315,Teixeira Dias,Pré-Carnaval
Banda Linda,01/02/2026,11:00,Rua Pinheiros 1040,Nova Cachoeirinha,Pré-Carnaval
Bloco do Cajado,01/02/2026,12:00,Rua Silva Jardim 239,Floresta,Pré-Carnaval
Matilda Fugiu,01/02/2026,12:00,Praça Cajuri 146,Santa Inês,Pré-Carnaval
Samba do Imperador,01/02/2026,12:00,Rua Artur Haas 380,Jardim Montanhês,Pré-Carnaval
Choro Elétrico,01/02/2026,12:00,Rua Conselheiro Rocha 1407,Vila Dias,Pré-Carnaval
Bloco Coquistas de Tia Toinha,01/02/2026,12:00,Rua Aarão Reis 462,Centro,Pré-Carnaval
Bloco Cidade Nova Piro-Leerita,05/02/2026,17:00,Rua Afonso Pena Junior 141,Cidade Nova,Pré-Carnaval
Bloco Instituto Cddown,05/02/2026,12:00,Rua General Ephigenio Ruas Santos 323,Itapoã,Pré-Carnaval
Bloco Na Cadência do Samba,05/02/2026,17:30,Rua Vinte e Cinco de Agosto 399,Aparecida,Pré-Carnaval
Bloco do Hungria,06/02/2026,18:00,Avenida Antônio Abrahão Caram 1001,São Luiz,Com Hungria
Flor & Amar,06/02/2026,18:00,Avenida Joaquim Clemente 320,Floramar,Pré-Carnaval
Se Avexe Não!,06/02/2026,18:00,Praça Geraldo Torres 172,Padre Eustáquio,Pré-Carnaval
Bloco Negoçado,07/02/2026,08:00,Avenida Francisco Sales 20,Floresta,Pré-Carnaval
Bloco das Jabuticabas,07/02/2026,08:00,Praça México 211,Concórdia,Pré-Carnaval
Querubloco,07/02/2026,08:00,Rua Córrego dos Carvalhos 285,Acaba Mundo,Pré-Carnaval
Bloco Sarará na Avenida,07/02/2026,08:00,Praça Rui Barbosa 50,Centro,Pré-Carnaval
Bloco Garota Eu Desço a Califórnia,07/02/2026,09:00,Praça Deputado Renato Azeredo 83,Sion,Pré-Carnaval
Bloco da Floresta,07/02/2026,09:30,Rua Deputado Bernardino de Sena Figueiredo 961,Cidade Nova,Pré-Carnaval
Vai Dá Não Bacana!,07/02/2026,10:00,Rua João de Freitas 122,Santo Antônio,Pré-Carnaval
Bloco Menina Má,07/02/2026,11:00,Avenida dos Engenheiros 718,Castelo,Pré-Carnaval
Então Planta,07/02/2026,14:00,A definir,A definir,Pré-Carnaval
Pífanos BH,07/02/2026,14:00,A definir,A definir,Pré-Carnaval
Como Te Llhama,07/02/2026,14:00,A definir,A definir,Pré-Carnaval
Cefet com Banana,07/02/2026,14:00,A definir,A definir,Pré-Carnaval
Banda Mole,07/02/2026,14:00,A definir,A definir,Pré-Carnaval
Bloco Sexta Ninguém Sabe?,07/02/2026,17:00,Rua Alvarenga Peixoto 991,Santo Agostinho,Pré-Carnaval
Bloco Prove Primeiro,07/02/2026,17:00,Rua Jacana 26,Providência,Pré-Carnaval
Bloco da Sol,07/02/2026,17:00,Rua Vinte e Cinco de Agosto 444,Aparecida,Pré-Carnaval
Bloco Ô Doral Pega No Meu Braço!,07/02/2026,17:00,Rua Leonil 535,Alípio de Melo,Pré-Carnaval
Bloco do Grifo,07/02/2026,17:30,Avenida Coronel Oscar Paschoal 155,São Luiz,Pré-Carnaval
Bloco Os Meninos da Meia-Noite,07/02/2026,17:30,Rua Sete de Abril 485,Esplanada,Pré-Carnaval
Bloco Afro-Periférico Orisamba,07/02/2026,18:00,Rua Fagundes Varela 95,Senhor dos Passos,Pré-Carnaval
Pagode do Paulinho,07/02/2026,18:00,Rua Alberto Cintra 365,União,Pré-Carnaval
Bloco Intervalo,07/02/2026,18:00,Rua David Campista 42,Floresta,Pré-Carnaval
Bloco No Caminho,07/02/2026,18:30,Rua Doutor Mário Magalhães 506,Itapoã,Pré-Carnaval
CarnaKVSH,08/02/2026,14:00,A definir,A definir,Música Eletrônica
@BsUrda,08/02/2026,14:00,A definir,A definir,LGBT+
As Charangueiras,08/02/2026,09:00,Rua Paraíba 1360,Savassi,Infantil/Familiar
Alceu Dispor,08/02/2026,10:00,Rua Além Paraíba 1035,Bonfim,Pré-Carnaval
Chá da Alice,08/02/2026,14:00,Avenida Brasil 1145,Funcionários,Pré-Carnaval
Baianos Usados,08/02/2026,14:00,A definir,A definir,Pré-Carnaval
Chama o Síndico,11/02/2026,16:00,Avenida Afonso Pena 1377,Centro,Tradicional
Diretucada,13/02/2026,17:00,Avenida Álvares Cabral 366,Lourdes,Abertura Oficial
Bloco Fúnebre,13/02/2026,23:00,Praça da Bandeira,Serra,Sexta-feira 13
Eduardo & Mônica,14/02/2026,14:00,Avenida Brasil,Centro,Avenidas Sonorizadas
Eu Não Vou Embora,14/02/2026,14:00,Avenida Brasil,Centro,Avenidas Sonorizadas
Tchanzinho Zona Norte,14/02/2026,14:00,Avenida dos Andradas,Centro,Avenidas Sonorizadas
Volta Belchior,14/02/2026,14:00,Avenida dos Andradas,Centro,Avenidas Sonorizadas
Bloco Aline Calixto,14/02/2026,14:00,Avenida Amazonas,Centro,Avenidas Sonorizadas
Filhos da PUC,14/02/2026,14:00,A definir,A definir,Tradicional
Então Brilha,14/02/2026,14:00,A definir,A definir,Tradicional
Bartucada,14/02/2026,14:00,A definir,A definir,Carnaval Oficial
Bloco do Lagum,14/02/2026,14:00,A definir,A definir,Carnaval Oficial
Clayton & Romário,14/02/2026,14:00,A definir,A definir,Carnaval Oficial
Funk You,14/02/2026,14:00,A definir,A definir,Funk
Do Fera,14/02/2026,14:00,A definir,A definir,Carnaval Oficial
Carna KVSH,14/02/2026,14:00,A definir,A definir,Música Eletrônica
Pedro Sampaio,14/02/2026,14:00,A definir,A definir,Carnaval Oficial
Toca Raul,14/02/2026,14:00,A definir,A definir,Homenagem Raul Seixas
Afoxé Ilê Odara,14/02/2026,14:00,A definir,A definir,Afro - Fundado 1980
Leão da Lagoinha,14/02/2026,14:00,A definir,A definir,Tradicional - Fundado 1947
Boi Rosado,14/02/2026,14:00,Santa Tereza,Santa Tereza,Carnaval Oficial
Bloco Duro,14/02/2026,14:00,Santa Tereza,Santa Tereza,Carnaval Oficial
Cavalo Marinho de BH,14/02/2026,14:00,Santa Tereza,Santa Tereza,Carnaval Oficial
Bloco Nada Santa,14/02/2026,14:00,Santa Tereza,Santa Tereza,Carnaval Oficial
Alalaor,14/02/2026,14:00,Santa Tereza,Santa Tereza,Carnaval Oficial
Deu Samba,14/02/2026,12:00,Praça da Pampulha,Pampulha,Com DJ Manolove
Beiço do Wando,15/02/2026,09:00,Avenida Brasil,Centro,Avenidas Sonorizadas
Batuque Coletivo,15/02/2026,09:00,Avenida Brasil,Centro,Homenagem Lô Borges
Bloco da Esquina,15/02/2026,09:00,Avenida dos Andradas,Centro,Clube da Esquina
Bloco É o Amô,15/02/2026,09:00,Avenida dos Andradas,Centro,Avenidas Sonorizadas
Bloco Abalô-Caxi,15/02/2026,09:00,Avenida Amazonas,Centro,Avenidas Sonorizadas
Angola Janga,15/02/2026,14:00,Avenida Amazonas,Centro,Avenidas Sonorizadas
Carnaval Infantil Cenário Kids,15/02/2026,10:00,Praça do São Bento,São Bento,Infantil
Filhos de Oyá,16/02/2026,09:00,Avenida Brasil,Centro,Avenidas Sonorizadas
Bloco dos Gêmeos (com Luísa Sonza),16/02/2026,14:00,Avenida Brasil,Centro,Avenidas Sonorizadas
Havayanas Usadas,16/02/2026,09:00,Avenida dos Andradas,Centro,Avenidas Sonorizadas
Swing Safado,16/02/2026,14:00,Avenida dos Andradas,Centro,Avenidas Sonorizadas
Baianas Ozadas,16/02/2026,09:00,Avenida Amazonas,Centro,Tradicional - Axé
Ziguiriguidum,16/02/2026,14:00,Avenida Amazonas,Centro,Avenidas Sonorizadas
Bloco Lua de Crixtal,18/02/2026,10:00,Rua Aarão Reis 534,Floresta,Quarta de Cinzas - Xuxa
Ziriggydum Stardust,21/02/2026,14:00,A definir,Floresta,Pós-Carnaval - David Bowie
Baile do Prazer,21/02/2026,14:00,A definir,A definir,Pós-Carnaval - Frevo
Transborda,21/02/2026,14:00,A definir,A definir,Pós-Carnaval - Periférico
Cortejo Bloco Encantado,22/02/2026,14:00,A definir,A definir,Pós-Carnaval
Us Beethoven,14/02/2026,14:00,Savassi,Savassi,Bloco Grande
Asa de Banana,14/02/2026,14:00,Savassi,Savassi,Bloco Grande
#MeDeixe,14/02/2026,14:00,Savassi,Savassi,Bloco Grande
Conexão African Beat,14/02/2026,14:00,Savassi,Savassi,Bloco Grande
Bloco do Batiza,14/02/2026,14:00,Floresta,Floresta,Megabloco
Unidos da Estrela da Morte,14/02/2026,14:00,Floresta,Floresta,Nerd/Geek
Inimigos do Fim,14/02/2026,14:00,Buritis,Buritis,Tradicional Buritis
Pipino Folia,14/02/2026,14:00,Buritis,Buritis,Tradicional Buritis
Morreu Bahia,14/02/2026,14:00,Lourdes,Lourdes,Tradicional
Bloco Kebraê,14/02/2026,14:00,Lourdes,Lourdes,Tradicional
Minas com Bahia,14/02/2026,14:00,Castelo,Castelo,Bloco Grande
Baianeiros,14/02/2026,14:00,Castelo,Castelo,Bloco Grande
Rola Cansada,14/02/2026,14:00,Castelo,Castelo,Bloco Grande
Uai Sô!,14/02/2026,14:00,Pampulha,Pampulha,Axé - Ex Proibida
Me Bebe que Sou Cervejeiro,14/02/2026,14:00,A definir,A definir,Cerveja Artesanal
Bloco do Xibiu,14/02/2026,14:00,A definir,A definir,Samba-enredo/Axé/Pop
